rmse_rad,failure_penalized_rmse_rad,itae,peak_error_rad,torque_rms,torque_smoothness,safety_violation_rate,residual_gate_mean,completed,duration_s,return,scenario,controller,model_seed,replicate_seed,eval_episode
0.7353372350538732,1.4210969736910815,6.411152230117345,2.4063235165830723,17.400689999775828,41.34722892550984,0.3023255813953488,1.0,0.0,4.3,-2094.7827696281765,nominal,DDPG direct,3,3,1
0.730712676127529,1.4193863911757698,6.353529435828666,2.406293467687732,17.320944953907386,43.99916900844656,0.29767441860465116,1.0,0.0,4.3,-2070.281625447838,nominal,DDPG direct,3,3,2
0.7391926433380119,1.4225297176186784,6.453447213156347,2.406342530450456,17.484377096565396,42.88740582037951,0.30697674418604654,1.0,0.0,4.3,-2109.6175179680827,nominal,DDPG direct,3,3,3
0.977566003513655,2.194343092425243,0.7705431712821096,2.5238377686795728,15.927898379976599,95.3237348086368,0.559322033898305,1.0,0.0,1.18,-1037.6029479163576,nominal,DDPG direct,4,4,0
0.9747754214049846,2.194098934421099,0.7713467484742572,2.4903798741194527,16.088218657801956,92.84688822233628,0.5932203389830508,1.0,0.0,1.18,-1039.6952235598958,nominal,DDPG direct,4,4,1
0.9674598070991561,2.1934620505970215,0.7607466795232704,2.5147878141190616,15.755134319145654,94.96668194990913,0.5423728813559322,1.0,0.0,1.18,-1007.7691436729756,nominal,DDPG direct,4,4,2
0.989101530425635,2.195359490996049,0.7845910178450975,2.5017673294803364,16.219027828558982,92.90108130256532,0.6101694915254238,1.0,0.0,1.18,-1066.6812717398657,nominal,DDPG direct,4,4,3
0.023441708558523747,0.023441708558523747,0.29749838741606127,0.04153259789938586,16.035035509366395,32.89329471753396,0.0,0.021136884914153258,1.0,6.0,147.4956825710241,nominal,Eval-gated Fuzzy-TD3,0,0,0
0.022683097873688593,0.022683097873688593,0.29569656371507747,0.041370970136462126,16.02463685536051,33.247243888539245,0.0,0.019663175000248636,1.0,6.0,147.67537957120376,nominal,Eval-gated Fuzzy-TD3,0,0,1
0.024250871090540024,0.024250871090540024,0.29836375114474506,0.044190786998235844,16.00851133101513,32.21431222921994,0.0,0.022385096124870857,1.0,6.0,147.45604364434186,nominal,Eval-gated Fuzzy-TD3,0,0,2
0.024052920357597884,0.024052920357597884,0.29889169745553973,0.04124452944626029,16.000272273494176,32.25323421083476,0.0,0.021952071681620257,1.0,6.0,147.50079547040588,nominal,Eval-gated Fuzzy-TD3,0,0,3
0.024654083089523316,0.024654083089523316,0.2929031360342305,0.05857594305307749,16.020275726899715,31.79558377550511,0.0,0.02322773570577821,1.0,6.0,145.35369303111443,nominal,Eval-gated Fuzzy-TD3,1,1,0
0.026469170174300023,0.026469170174300023,0.3005932208659638,0.04937162365667298,16.024689498832632,30.689597015669907,0.0,0.02638312504755763,1.0,6.0,147.05911314435593,nominal,Eval-gated Fuzzy-TD3,1,1,1
0.023934803592621828,0.023934803592621828,0.2945339149279327,0.045522035232002704,16.021747824889434,32.76527312868533,0.0,0.021875386752927366,1.0,6.0,147.47343822513426,nominal,Eval-gated Fuzzy-TD3,1,1,2
0.024986312561339017,0.024986312561339017,0.29294726034102936,0.05698929190102065,16.014444104365126,31.247775424949634,0.0,0.023682777738878016,1.0,6.0,144.3418755878743,nominal,Eval-gated Fuzzy-TD3,1,1,3
0.02862882331367073,0.02862882331367073,0.32303059437026516,0.055433849394281476,15.98397759338622,34.194817101365906,0.0,0.03069050947443523,1.0,6.0,143.2573078821649,nominal,Eval-gated Fuzzy-TD3,2,2,0
