scenario,controller,rmse_rad_mean,rmse_rad_std,rmse_rad_count,failure_penalized_rmse_rad_mean,failure_penalized_rmse_rad_std,failure_penalized_rmse_rad_count,itae_mean,itae_std,itae_count,peak_error_rad_mean,peak_error_rad_std,peak_error_rad_count,torque_rms_mean,torque_rms_std,torque_rms_count,torque_smoothness_mean,torque_smoothness_std,torque_smoothness_count,safety_violation_rate_mean,safety_violation_rate_std,safety_violation_rate_count,residual_gate_mean_mean,residual_gate_mean_std,residual_gate_mean_count,completed_mean,completed_std,completed_count,duration_s_mean,duration_s_std,duration_s_count,return_mean,return_std,return_count,rmse_rad_sem,rmse_rad_ci95,failure_penalized_rmse_rad_sem,failure_penalized_rmse_rad_ci95,itae_sem,itae_ci95,peak_error_rad_sem,peak_error_rad_ci95,torque_rms_sem,torque_rms_ci95,torque_smoothness_sem,torque_smoothness_ci95,safety_violation_rate_sem,safety_violation_rate_ci95,residual_gate_mean_sem,residual_gate_mean_ci95,completed_sem,completed_ci95,duration_s_sem,duration_s_ci95,return_sem,return_ci95
nominal,SAC direct,0.7608282657513157,0.12605350695281248,20,1.7376518643277457,0.619485366451173,20,3.505434384828134,4.126034184940641,20,2.1371916516767153,0.6838094282174183,20,15.71720444408796,2.1287969910667113,20,129.29418209469804,163.7176258489152,20,0.326712896412211,0.11015747655036895,20,1.0,0.0,20,0.2,0.41039134083406165,20,2.704,1.7698599409349645,20,-1254.4838728488962,371.46320792336843,20,0.028186421034873108,0.05524538522835129,0.13852113904511903,0.2715014325284333,0.9226092915015213,1.8083142113429818,0.152904436514941,0.29969269556928435,0.47601347823221785,0.932986417335147,36.608374051305105,71.752413140558,0.024631960579646398,0.04827864273610694,0.0,0.0,0.0917662935482247,0.1798619353545204,0.3957527138584343,0.7756753191625312,83.06169840567902,162.8009288751309
nominal,TD3 direct,0.750501850647501,0.1362488553899841,20,1.3963373734781859,0.6030490381766753,20,6.748326082499432,5.440086224345237,20,2.1896241861653203,0.562510113866011,20,15.538666075966844,2.4761518065233434,20,206.96280634638788,346.6158830845469,20,0.2960501071925537,0.0936546120236499,20,1.0,0.0,20,0.4,0.5026246899500346,20,3.9810000000000003,1.8290115248118957,20,-2052.951839520098,968.4440719170503,20,0.030466170250854307,0.05971369369167444,0.13484586431289117,0.2642978940532667,1.216440260109612,2.3842229098148398,0.12578108526355475,0.2465309271165673,0.5536843761995103,1.0852213773510402,77.50566766581663,151.9111086250006,0.02094180788912503,0.04104594346268506,0.0,0.0,0.11239029738980327,0.2202849828840144,0.4089794101109942,0.8015996438175487,216.55067772132196,424.439328333791
nominal,Tuned fuzzy,0.036258976590073114,0.000632597524489285,20,0.036258976590073114,0.000632597524489285,20,0.4761933039618051,0.0021484043005107313,20,0.0827688876968446,0.0021027903897540895,20,19.806166083061854,0.14961704984132856,20,1119.825403237001,45.61724738825562,20,0.0,0.0,20,1.0,0.0,20,1.0,0.0,20,6.0,0.0,20,-162.14684693767703,10.6025251056198,20,0.00014145310671561292,0.0002772480891626013,0.00014145310671561292,0.0002772480891626013,0.0004803978059094881,0.0009415796995825966,0.0004701982253923421,0.0009215885217689905,0.03345538940381848,0.06557256323148422,10.20032661065643,19.992640156886605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.370796686931401,4.646761506385546
payload_2x,Adaptive computed torque,0.8917274597203366,0.005509907536236184,20,0.8917274597203366,0.005509907536236184,20,13.45033866962433,0.09410855284434753,20,1.9971996165377033,0.025083463922905617,20,20.387987755509148,0.02751622090782296,20,18.931671843027562,1.0140697159668741,20,0.3516666666666667,0.005014598571212781,20,1.0,0.0,20,1.0,0.0,20,6.0,0.0,20,-4225.65666511534,59.35228658700125,20,0.0012320527800762492,0.0024148234489494483,0.0012320527800762492,0.0024148234489494483,0.021043312142409225,0.04124489179912208,0.00560883304427805,0.010993312766784977,0.006152814043379311,0.01205951552502345,0.22675288188258344,0.44443564848986356,0.0011212983285105098,0.0021977447238805993,0.0,0.0,0.0,0.0,0.0,0.0,13.271574742858379,26.01228649600242
payload_2x,Computed torque,0.8074179330904141,0.010766293108277406,20,0.8074179330904141,0.010766293108277406,20,10.713689970679667,0.6089311978720839,20,1.9927573273073118,0.027136715400519523,20,20.211794542110475,0.018791246470635327,20,16.809454070657264,1.0092961963972344,20,0.26949999999999996,0.02518411733775619,20,1.0,0.0,20,1.0,0.0,20,6.0,0.0,20,-3505.13299983381,96.23058512422276,20,0.0024074163255795784,0.0047185359981359734,0.0024074163255795784,0.0047185359981359734,0.13616115520623548,0.26687586420422155,0.006067954032162708,0.011893189903038908,0.00420185044902936,0.008235626880097545,0.22568549045761943,0.4423435612969341,0.005631339832055387,0.01103742607082856,0.0,0.0,0.0,0.0,0.0,0.0,21.51781298523421,42.174913451059055
payload_2x,DDPG direct,0.7884131289767143,0.15840146105208408,20,1.8327627443608026,0.3359458369770549,20,3.0522436101967867,2.4520960674521173,20,2.472194351514269,0.04310046364856612,20,15.506757951060973,2.551874710307939,20,60.528519017202896,21.826740023440234,20,0.35579107013993505,0.1901975919035392,20,1.0,0.0,20,0.0,0.0,20,2.635,1.347510374923442,20,-1305.1619473933702,386.99133054069796,20,0.03541964346477453,0.06942250119095808,0.07511977282387572,0.1472347547347964,0.5483053494182843,1.0746784848598374,0.009637556657995245,0.01888961104967068,0.5706165322311134,1.1184084031729822,4.880607441962772,9.565990586247032,0.04252947446530772,0.08335776995200313,0.0,0.0,0.0,0.0,0.30131247987150445,0.5905724605481487,86.5338921792091,169.60642867124983
payload_2x,Eval-gated Fuzzy-TD3,0.4378407292805494,0.007268077623650971,20,0.4378407292805494,0.007268077623650971,20,6.321221802762708,0.33989230414764376,20,1.0842743542814997,0.015066863827773138,20,18.942320013073477,0.19810091064023402,20,99.22544079033727,45.071441313732606,20,0.19833333333333333,0.00688247201611685,20,0.5463564345924563,0.015666297229898655,20,1.0,0.0,20,6.0,0.0,20,-977.148952140846,46.79009478778142,20,0.0016251915632228703,0.003185375463916826,0.0016251915632228703,0.003185375463916826,0.07600222971031652,0.14896437023222037,0.003369053172663342,0.00660334421842015,0.04429671025961746,0.08682155210885023,10.078280662139854,19.753430097794112,0.0015389675281277304,0.0030163763551303516,0.003503090556177004,0.006866057490106928,0.0,0.0,0.0,0.0,10.462583261913785,20.50666319335102
payload_2x,Fuzzy,0.5192805936723294,0.0010038076457948124,20,0.5192805936723294,0.0010038076457948124,20,8.206505484163864,0.014558827467202547,20,1.1648054958666538,0.0024312160453801436,20,16.995058540259603,0.014723592710716151,20,29.945073210778027,0.9463542163282169,20,0.25816666666666666,0.0017013926184468082,20,1.0,0.0,20,1.0,0.0,20,6.0,0.0,20,-1294.4385383789188,6.2022286364837775,20,0.00022445821323312313,0.00043993809793692134,0.00022445821323312313,0.00043993809793692134,0.0032554527889355985,0.006380687466313773,0.0005436364345458214,0.00106552741170981,0.003292295417418171,0.006452899018139615,0.21161123585034344,0.41475802226667313,0.0003804429551263426,0.0007456681920476315,0.0,0.0,0.0,0.0,0.0,0.0,1.3868604843173558,2.7182465492620174
payload_2x,Fuzzy-SAC residual,0.38390400420755216,0.01336068338875516,20,0.38390400420755216,0.01336068338875516,20,5.897468022346251,0.22466313210842875,20,0.9224234439518074,0.023461886496589566,20,19.889043952088016,0.17971617456932035,20,40.65416088909127,26.5712337297696,20,0.17216666666666666,0.00956816114006966,20,1.0,0.0,20,1.0,0.0,20,6.0,0.0,20,-797.7944342314021,60.23464201450198,20,0.0029875396283108786,0.005855577671489322,0.0029875396283108786,0.005855577671489322,0.05023620354324623,0.09846295894476262,0.005246237308675865,0.010282625125004696,0.04018575829932192,0.07876408626667097,5.94150848658001,11.645356633696819,0.0021395058728867645,0.004193431510858058,0.0,0.0,0.0,0.0,0.0,0.0,13.468875414479129,26.39899581237909
payload_2x,Fuzzy-TD3 residual,0.39361513987380636,0.024939382175777295,20,0.39361513987380636,0.024939382175777295,20,6.059752842503256,0.4476612254704251,20,0.9609298092684858,0.0509313579901259,20,19.341365114315483,0.26719795120946604,20,52.29210510126012,46.82287985780076,20,0.17533333333333334,0.00993546427160792,20,1.0,0.0,20,1.0,0.0,20,6.0,0.0,20,-817.0379786315045,113.4880236581088,20,0.005576615386188464,0.01093016615692939,0.005576615386188464,0.01093016615692939,0.10010009310427308,0.19619618248437523,0.011388597865229857,0.02232165181585052,0.05974727823530382,0.11710466534119549,10.469914226434817,20.521031883812242,0.002221637349933574,0.004354409205869806,0.0,0.0,0.0,0.0,0.0,0.0,25.376693553163562,49.738319364200585
