rmse_rad,failure_penalized_rmse_rad,itae,peak_error_rad,torque_rms,torque_smoothness,safety_violation_rate,residual_gate_mean,completed,duration_s,return,scenario,controller,residual_bound_nm,model_seed,eval_episode
0.7205480165720027,0.7205480165720027,10.862911409983177,1.7321906438462378,17.30088744877201,67.34085307753669,0.27666666666666667,1.0,1.0,6.0,-2233.6849599500338,severe_shift,Fuzzy-TD3 residual,10.0,2,1
0.7214376550272165,0.7214376550272165,10.854455638758939,1.7326775321614636,17.248877422448974,66.31160040740899,0.28,1.0,1.0,6.0,-2246.7906650207046,severe_shift,Fuzzy-TD3 residual,10.0,2,2
0.7196061965776519,0.7196061965776519,10.846508950620432,1.7288112627320964,17.32283155935434,65.94032356223076,0.27666666666666667,1.0,1.0,6.0,-2246.7242836549945,severe_shift,Fuzzy-TD3 residual,10.0,2,3
0.13463459254971374,0.13463459254971374,2.7240703581913275,0.2211622290606724,16.16759191823419,57.482665119209514,0.0,1.0,1.0,6.0,-44.61392979731599,nominal,Fuzzy-TD3 residual,10.0,3,0
0.13473561990961558,0.13473561990961558,2.7245128242202443,0.22116038940554447,16.172863078799352,59.21010578010009,0.0,1.0,1.0,6.0,-44.91918236425767,nominal,Fuzzy-TD3 residual,10.0,3,1
0.1345991885234973,0.1345991885234973,2.7230864351410324,0.22116645304979685,16.17801379240201,58.00386555060262,0.0,1.0,1.0,6.0,-44.14368467197397,nominal,Fuzzy-TD3 residual,10.0,3,2
0.13468918058519544,0.13468918058519544,2.7250946809698458,0.2211572311974736,16.17598265180366,58.524238789959796,0.0,1.0,1.0,6.0,-44.63237226150986,nominal,Fuzzy-TD3 residual,10.0,3,3
0.4233890634858711,0.4233890634858711,6.125708337821907,1.0484137590611666,19.11617607693441,76.39635978316367,0.19,1.0,1.0,6.0,-935.7231287447274,payload_2x,Fuzzy-TD3 residual,10.0,3,0
0.4228548772040497,0.4228548772040497,6.135006498270882,1.0458291750988218,19.13010556106277,81.74377100548188,0.19,1.0,1.0,6.0,-935.9075851653615,payload_2x,Fuzzy-TD3 residual,10.0,3,1
0.4228872876304318,0.4228872876304318,6.119427969620138,1.0471125699929642,19.123210499863085,79.86766373305363,0.19,1.0,1.0,6.0,-933.6603417208746,payload_2x,Fuzzy-TD3 residual,10.0,3,2
0.42311172642384615,0.42311172642384615,6.132648731457583,1.0470212173882214,19.13048582405813,79.85472298832036,0.19,1.0,1.0,6.0,-936.1983481861934,payload_2x,Fuzzy-TD3 residual,10.0,3,3
0.7826173620259606,0.7826173620259606,11.293953484426414,1.899620283485903,16.197807470304365,34.88702657334396,0.28,1.0,1.0,6.0,-2584.1218989772647,severe_shift,Fuzzy-TD3 residual,10.0,3,0
0.7830205796402351,0.7830205796402351,11.304342510054651,1.8991120043937575,16.184126009232113,35.97634455544192,0.28,1.0,1.0,6.0,-2586.28597724951,severe_shift,Fuzzy-TD3 residual,10.0,3,1
0.7816252727572326,0.7816252727572326,11.29190929393757,1.8967626360973284,16.216633922311456,35.86322922831387,0.2833333333333333,1.0,1.0,6.0,-2578.9890778406016,severe_shift,Fuzzy-TD3 residual,10.0,3,2
0.7830331445457259,0.7830331445457259,11.301763069055713,1.899853636314578,16.192991146411387,35.37469251139264,0.28,1.0,1.0,6.0,-2586.5005391985305,severe_shift,Fuzzy-TD3 residual,10.0,3,3
0.1599158798573719,0.1599158798573719,3.153343612130718,0.3086931527361063,16.64777184990494,27.52680833886549,0.0,1.0,1.0,6.0,-89.28566455505936,nominal,Fuzzy-TD3 residual,10.0,4,0
0.16178466914882875,0.16178466914882875,3.1689790995279954,0.30831168447673146,16.71711189837135,30.14430374837039,0.0,1.0,1.0,6.0,-103.54565985381001,nominal,Fuzzy-TD3 residual,10.0,4,1
0.16012787902890646,0.16012787902890646,3.1573611171252587,0.30852726845864825,16.65154922174364,27.99115384341533,0.0,1.0,1.0,6.0,-89.49527466281731,nominal,Fuzzy-TD3 residual,10.0,4,2
0.16016303921940211,0.16016303921940211,3.1591498345411564,0.3085118685468048,16.68906340316374,28.29411519815895,0.0,1.0,1.0,6.0,-90.30293360929541,nominal,Fuzzy-TD3 residual,10.0,4,3
0.41261661038356906,0.41261661038356906,6.169695418814679,1.007912612246319,19.290221648484426,102.53734332737514,0.18666666666666668,1.0,1.0,6.0,-889.6493644296013,payload_2x,Fuzzy-TD3 residual,10.0,4,0
